UniProt_ID,Protein_Name,Gene_Names,Organism,Source_DB,LLPSDB_designed,LLPS_mode,evidence_in_vitro,evidence_in_vivo,role,MLO_Types,is_membrane,TMD_count,TMD_class,Length
O95816,BAG family molecular chaperone regulator 2,BAG2,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,BAG2 condensate,False,0,none,211.0
O95835,Serine/threonine-protein kinase LATS1,LATS1 WARTS,Homo sapiens,PhasePDB,False,both,False,False,driver,,False,0,none,1130.0
O95886,Disks large-associated protein 3,DLGAP3 DAP3,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,Postsynaptic density,False,0,none,979.0
O95931,Chromobox protein homolog 7,CBX7,Homo sapiens,PhasePDB,False,both,True,True,both,Nuclear body,False,0,none,251.0
O95999,B-cell lymphoma/leukemia 10,BCL10 CIPER CLAP,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,233.0
O96028,Histone-lysine N-methyltransferase NSD2,NSD2 KIAA1090 MMSET TRX5 WHSC1,Homo sapiens,PhasePDB,False,both,False,False,driver,,False,0,none,1365.0
P00441,Superoxide dismutase [Cu-Zn],SOD1,Homo sapiens,PhasePDB,False,both,False,False,both,Stress granule,False,0,none,154.0
P00492,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1 HPRT,Homo sapiens,PhasePDB,False,partner_dependent,False,True,unclear,,False,0,none,218.0
P00519,Tyrosine-protein kinase ABL1;Abelson murine leukemia viral oncogene homolog 1;Abelson tyrosine-protein kinase 1;Proto-oncogene c-Abl;p150,ABL1;ABL;JTK7,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,"Cytoplasm, cytoskeleton; Nucleus; Mitochondrion.",False,0,none,1130.0
P01106,Myc proto-oncogene protein,MYC BHLHE39,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,True,False,both,Transcriptional condensate,False,0,none,439.0
P01116,GTPase KRas,KRAS KRAS2 RASK2,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,189.0
P01215,Glycoprotein hormones alpha chain,CGA,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,116.0
P02511,Alpha-crystallin B chain,CRYAB CRYA2 HSPB5,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,175.0
P02545,Prelamin-A/C,LMNA LMN1,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,664.0
P02649,Apolipoprotein E,APOE,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,317.0
P02745,Complement C1q subcomponent subunit A,C1QA,Homo sapiens,PhasePDB,False,unclear,True,True,driver,,False,0,none,245.0
P02768,Albumin,ALB,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,609.0
P02787,Serotransferrin,TF,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,698.0
P02792,Ferritin light chain,FTL,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,175.0
P02794,Ferritin heavy chain,FTH1 FTH FTHL6,Homo sapiens,PhasePDB,False,partner_dependent,False,False,driver,,False,0,none,183.0
P03372,Estrogen receptor,ESR1 ESR NR3A1,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,False,False,client,Nuclear speckle; Transcriptional condensate,False,0,none,595.0
P04049,RAF proto-oncogene serine/threonine-protein kinase,RAF1 RAF,Homo sapiens,PhasePDB,False,autonomous,False,False,unclear,,False,0,none,648.0
P04150,Glucocorticoid receptor,NR3C1 GRL,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,Transcriptional condensate,False,0,none,777.0
P04156,Major prion protein,PRNP ALTPRP PRIP PRP,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,True,True,driver,,False,0,none,253.0
P04637,Cellular tumor antigen p53,TP53 P53,Homo sapiens,LLPSDB+PhasePDB,False,both,False,False,both,DNA damage foci; Nucleolus; Stress granule; Transcriptional condensate,False,0,none,393.0
P04792,Heat shock protein beta-1,HSPB1 HSP27 HSP28,Homo sapiens,PhasePDB,False,both,False,False,client,Stress granule,False,0,none,205.0
P05412,Transcription factor Jun,JUN,Homo sapiens,PhasePDB,False,autonomous,False,True,driver,Stress granule,False,0,none,331.0
P06239,Tyrosine-protein kinase Lck,LCK,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,509.0
P06241,Tyrosine-protein kinase Fyn,FYN,Homo sapiens,LLPSDB+PhasePDB,False,both,False,False,driver,Stress granule,False,0,none,537.0
P06400,Retinoblastoma-associated protein,RB1,Homo sapiens,PhasePDB,False,unclear,False,True,unclear,Transcriptional condensate,False,0,none,928.0
P06401,Progesterone receptor,PGR NR3C3,Homo sapiens,PhasePDB,False,unclear,False,True,unclear,Nuclear body; Transcriptional condensate,False,0,none,933.0
P06454,Prothymosin alpha,PTMA TMSA,Homo sapiens,PhasePDB,False,partner_dependent,True,False,unclear,,False,0,none,111.0
P06703,Protein S100-A6,S100A6 CACY,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,90.0
P06730,Eukaryotic translation initiation factor 4E,EIF4E EIF4EL1 EIF4F,Homo sapiens,PhasePDB,False,partner_dependent,False,False,client,Inclusion body; Stress granule,False,0,none,217.0
P06744,Glucose-6-phosphate isomerase,GPI,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,558.0
P06746,DNA polymerase beta,POLB,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,335.0
P06748,Nucleophosmin,NPM1 NPM,Homo sapiens,LLPSDB+PhasePDB,False,both,False,False,both,Nucleolus; ViPR body,False,0,none,294.0
P06858,Lipoprotein lipase,LPL LIPD,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,475.0
P07237,Protein disulfide-isomerase,P4HB ERBA2L PDI PDIA1 PO4DB,Homo sapiens,PhasePDB,False,autonomous,False,False,both,Stress granule,False,0,none,508.0
P07305,Histone H1.0,H1-0 H1F0 H1FV,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,194.0
P07320,Gamma-crystallin D,CRYGD CRYG4,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,True,False,driver,,False,0,none,174.0
P07900,Heat shock protein HSP 90-alpha,HSP90AA1 HSP90A HSPC1 HSPCA,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,P-body; Stress granule,False,0,none,732.0
P08047,Transcription factor Sp1,SP1 TSFP1,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,785.0
P08237,"ATP-dependent 6-phosphofructokinase, muscle type",PFKM PFKX,Homo sapiens,PhasePDB,False,autonomous,True,False,both,,False,0,none,780.0
P08238,Heat shock protein HSP 90-beta,HSP90AB1 HSP90B HSPC2 HSPC3 HSPCB,Homo sapiens,PhasePDB,False,both,False,False,both,,False,0,none,724.0
P08621,U1 small nuclear ribonucleoprotein 70 kDa,SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1,Homo sapiens,PhasePDB,False,both,True,False,driver,Nuclear body; Nuclear speckle; Nucleolus,False,0,none,437.0
P08670,Vimentin,VIM,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,466.0
P08865,Small ribosomal subunit protein uS2,RPSA LAMBR LAMR1,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,295.0
P09016,Homeobox protein Hox-D4,HOXD4 HOX4B,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,255.0
P09017,Homeobox protein Hox-C4,HOXC4 HOX3E,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,264.0
P09038,Fibroblast growth factor 2,FGF2 FGFB,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,288.0
P09429,High mobility group protein B1,HMGB1 HMG1,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Nucleolus,False,0,none,215.0
P09651,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1 HNRPA1,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Nuclear body; Nuclear speckle; Stress granule,False,0,none,372.0
P09651-1,Heterogeneous nuclear ribonucleoprotein A1;Helix-destabilizing protein;Single-strand RNA-binding protein;hnRNP core protein A1,HNRNPA1;HNRPA1,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Nucleus; Cytoplasm.,False,0,none,
P09651-2,Heterogeneous nuclear ribonucleoprotein A1;Helix-destabilizing protein;Single-strand RNA-binding protein;hnRNP core protein A1,HNRNPA1;HNRPA1,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Cytoplasm.,False,0,none,
P09874,Poly [ADP-ribose] polymerase 1,PARP1 ADPRT PPOL,Homo sapiens,PhasePDB,False,both,False,False,driver,DNA damage foci; Transcriptional condensate,False,0,none,1014.0
P0C0S8,Histone H2A type 1,H2AC11 H2AFP HIST1H2AG,Homo sapiens,PhasePDB,False,partner_dependent,True,False,unclear,,False,0,none,130.0
P0CG48,Polyubiquitin-C,UBC,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Cytoplasm; Nucleus.,False,0,none,685.0
P0DJD4,"RNA-binding motif protein, Y chromosome, family 1 member C",RBMY1C,Homo sapiens,PhasePDB,False,autonomous,True,False,unclear,,False,0,none,496.0
P0DMV8,Heat shock 70 kDa protein 1A,HSPA1A HSP72 HSPA1 HSX70,Homo sapiens,PhasePDB,False,both,False,False,client,Anisosome; TDP-43 nuclear condensate,False,0,none,641.0
P0DN86,Choriogonadotropin subunit beta 3,CGB3 CGB,Homo sapiens,PhasePDB,False,both,False,False,both,,False,0,none,165.0
P10275,Androgen receptor,AR DHTR NR3C4,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,False,False,driver,enhancer condensate; Transcriptional condensate,False,0,none,920.0
P10276,Retinoic acid receptor alpha,RARA NR1B1,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,True,False,driver,,False,0,none,462.0
P10412,Histone H1.4,H1-4 H1F4 HIST1H1E,Homo sapiens,PhasePDB,False,partner_dependent,True,False,unclear,Heterochromatin; Nucleolus,False,0,none,219.0
P10636,Microtubule-associated protein tau,MAPT MAPTL MTBT1 TAU,Homo sapiens,PhasePDB,False,both,False,False,driver,Nuclear pore complex; Nuclear speckle; Stress granule; Tau condensate,False,0,none,758.0
P10636-8,Microtubule-associated protein tau;Neurofibrillary tangle protein;Paired helical filament-tau,MAPT;MAPTL;MTBT1;TAU,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,"Cytoplasm, cytosol; Cell membrane; Peripheral membrane protein; Cytoplasmic side; Cytoplasm, cytoskeleton; Cell projection, axon; Cytoplasm; Cell projection, dendrite.",False,0,none,
P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit,PRKAR1A PKR1 PRKAR1 TSE1,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Stress granule,False,0,none,381.0
P10909,Clusterin,CLU APOJ CLI KUB1,Homo sapiens,PhasePDB,False,both,True,False,driver,,False,0,none,449.0
P10914,Interferon regulatory factor 1,IRF1,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,Cajal body; PML nuclear body,False,0,none,325.0
P11021,Endoplasmic reticulum chaperone BiP,HSPA5 GRP78,Homo sapiens,PhasePDB,False,both,False,False,both,Anisosome,False,0,none,654.0
P11142,Heat shock cognate 71 kDa protein,HSPA8 HSC70 HSP73 HSPA10,Homo sapiens,PhasePDB,False,both,False,True,unclear,Anisosome; Nuclear stress body,False,0,none,646.0
P11388,DNA topoisomerase 2-alpha,TOP2A TOP2,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,1531.0
P11940,Polyadenylate-binding protein 1,PABPC1 PAB1 PABP PABP1 PABPC2,Homo sapiens,PhasePDB,False,both,False,False,driver,Inclusion body; Nuclear speckle; Stress granule,False,0,none,636.0
P12081,"Histidine--tRNA ligase, cytoplasmic",HARS1 HARS HRS,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,Stress granule,False,0,none,509.0
P12643,Bone morphogenetic protein 2,BMP2 BMP2A,Homo sapiens,PhasePDB,False,both,True,False,unclear,,False,0,none,396.0
P12931,Proto-oncogene tyrosine-protein kinase Src,SRC SRC1,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,536.0
P12956,X-ray repair cross-complementing protein 6,XRCC6 G22P1,Homo sapiens,PhasePDB,False,partner_dependent,False,True,unclear,,False,0,none,609.0
P13010,X-ray repair cross-complementing protein 5,XRCC5 G22P2,Homo sapiens,PhasePDB,False,both,True,True,driver,,False,0,none,732.0
P13501,C-C motif chemokine 5,CCL5 D17S136E SCYA5,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,91.0
P13639,Elongation factor 2,EEF2 EF2,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,858.0
P14618,Pyruvate kinase PKM,PKM OIP3 PK2 PK3 PKM2,Homo sapiens,PhasePDB,False,autonomous,True,False,both,,False,0,none,531.0
P14653,Homeobox protein Hox-B1,HOXB1 HOX2I,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,301.0
P14866,Heterogeneous nuclear ribonucleoprotein L,HNRNPL HNRPL,Homo sapiens,PhasePDB,False,partner_dependent,False,True,unclear,,False,0,none,589.0
P15056,Serine/threonine-protein kinase B-raf,BRAF BRAF1 RAFB1,Homo sapiens,PhasePDB,False,autonomous,True,False,both,,False,0,none,766.0
P15172,Myoblast determination protein 1,MYOD1 BHLHC1 MYF3 MYOD,Homo sapiens,PhasePDB,False,autonomous,False,False,both,Nucleolus,False,0,none,320.0
P15502,Elastin,ELN,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,True,False,driver,,False,0,none,786.0
P15927,Replication protein A 32 kDa subunit,RPA2 REPA2 RPA32 RPA34,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,PML nuclear body; Stress granule,False,0,none,270.0
P16333,SH2/SH3 adapter protein NCK1,NCK1 NCK,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,False,False,unclear,PML nuclear body; Postsynaptic density; Receptor cluster,False,0,none,377.0
P16401,Histone H1.5,H1-5 H1F5 HIST1H1B,Homo sapiens,PhasePDB,False,partner_dependent,True,True,unclear,,False,0,none,226.0
P16402,Histone H1.3,H1-3 H1F3 HIST1H1D,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,221.0
P16403,Histone H1.2,H1-2 H1F2 HIST1H1C,Homo sapiens,PhasePDB,False,partner_dependent,True,False,unclear,,False,0,none,213.0
P16753-2,Capsid scaffolding protein;Protease precursor,UL80;APNG,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Host cytoplasm; Host nucleus; Host nucleus.,False,0,none,
P17066,Heat shock 70 kDa protein 6,HSPA6 HSP70B',Homo sapiens,PhasePDB,False,autonomous,False,False,client,Anisosome,False,0,none,643.0
P17096,High mobility group protein HMG-I/HMG-Y,HMGA1 HMGIY,Homo sapiens,PhasePDB,False,partner_dependent,True,True,driver,,False,0,none,107.0
P17480,Nucleolar transcription factor 1,UBTF UBF UBF1,Homo sapiens,PhasePDB,False,both,False,False,both,Nucleolus,False,0,none,764.0
P17600,Synapsin-1,SYN1,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,False,False,driver,Synapsin condensate,False,0,none,705.0
P17661,Desmin,DES,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,470.0
P17676,CCAAT/enhancer-binding protein beta,CEBPB TCF5,Homo sapiens,PhasePDB,False,both,False,False,driver,Transcriptional condensate,False,0,none,345.0
P17931,Galectin-3,LGALS3 MAC2,Homo sapiens,PhasePDB,False,both,True,True,driver,,False,0,none,250.0
P17947,Transcription factor PU.1,SPI1,Homo sapiens,PhasePDB,False,partner_dependent,True,False,unclear,,False,0,none,270.0
P18031,Tyrosine-protein phosphatase non-receptor type 1;Protein-tyrosine phosphatase 1B,PTPN1;PTP1B,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side.,False,0,none,435.0
P18124,Large ribosomal subunit protein uL30,RPL7,Homo sapiens,PhasePDB,False,partner_dependent,True,False,unclear,Nucleolus,False,0,none,248.0
P18206,Vinculin,VCL,Homo sapiens,PhasePDB,False,both,False,False,both,,False,0,none,1134.0
P18583,Protein SON,SON C21orf50 DBP5 KIAA1019 NREBP,Homo sapiens,PhasePDB,False,unclear,False,False,driver,Centrosome; Nuclear speckle,False,0,none,2426.0
P18615,Negative elongation factor E,NELFE RD RDBP,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,Transcriptional condensate,False,0,none,380.0
P18887,DNA repair protein XRCC1,XRCC1,Homo sapiens,PhasePDB,False,both,False,False,driver,,False,0,none,633.0
P19174,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",PLCG1 PLC1,Homo sapiens,PhasePDB,False,both,False,False,unclear,,False,0,none,1290.0
P19338,Nucleolin,NCL,Homo sapiens,PhasePDB,False,both,False,False,driver,Nuclear stress body; Nucleolus,False,0,none,710.0
P19388,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,Homo sapiens,PhasePDB,False,autonomous,True,False,both,Transcriptional condensate,False,0,none,210.0
P19474,E3 ubiquitin-protein ligase TRIM21,TRIM21 RNF81 RO52 SSA1,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,Stress granule,False,0,none,475.0
P19484,Transcription factor EB,TFEB BHLHE35,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Transcriptional condensate,False,0,none,476.0
P19525,"Interferon-induced, double-stranded RNA-activated protein kinase",EIF2AK2 PKR PRKR,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,551.0
P19532,Transcription factor E3,TFE3 BHLHE33,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Transcriptional condensate,False,0,none,575.0
P19622,Homeobox protein engrailed-2,EN2,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Nucleus.,False,0,none,333.0
P20226,TATA-box-binding protein,TBP GTF2D1 TF2D TFIID,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,Transcriptional condensate,False,0,none,339.0
P20591,Interferon-induced GTP-binding protein Mx1,MX1,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,662.0
P20592,Interferon-induced GTP-binding protein Mx2,MX2,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,P-body; Stress granule,False,0,none,715.0
P20823,Hepatocyte nuclear factor 1-alpha,HNF1A TCF1,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,631.0
P20930,Filaggrin,FLG,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,4061.0
P21333,Filamin-A,FLNA FLN FLN1,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,2647.0
P22087,rRNA 2'-O-methyltransferase fibrillarin,FBL FIB1 FLRN,Homo sapiens,PhasePDB,False,autonomous,False,True,driver,DNA damage foci; Nucleolus; ViPR body,False,0,none,321.0
P22234,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,PAICS ADE2 AIRC PAIS,Homo sapiens,PhasePDB,False,both,False,False,driver,Purinosome,False,0,none,425.0
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1 HNRPA2B1,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,True,True,driver,Nuclear speckle; Stress granule,False,0,none,353.0
P22736,Nuclear receptor subfamily 4immunitygroup A member 1,NR4A1 GFRP1 HMR NAK1,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Nuclear body,False,0,none,598.0
P23246,"Splicing factor, proline- and glutamine-rich",SFPQ PSF,Homo sapiens,PhasePDB,False,both,False,False,driver,DNA damage foci; Nucleolus; Paraspeckle; Stress granule,False,0,none,707.0
P23396,Small ribosomal subunit protein uS3,RPS3,Homo sapiens,PhasePDB,False,both,False,False,driver,DNA damage foci,False,0,none,243.0
P23458,Tyrosine-protein kinase JAK1,JAK1 JAK1A JAK1B,Homo sapiens,PhasePDB,False,autonomous,False,False,both,,False,0,none,1154.0
P23588,Eukaryotic translation initiation factor 4B,EIF4B,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,611.0
P23769,Endothelial transcription factor GATA-2;GATA-binding protein 2,GATA2,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Nucleus.,False,0,none,480.0
P23771,Trans-acting T-cell-specific transcription factor GATA-3,GATA3,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Nuclear speckle; Transcriptional condensate,False,0,none,443.0
P24928,DNA-directed RNA polymerase II subunit RPB1,POLR2A POLR2,Homo sapiens,LLPSDB+PhasePDB,False,both,False,False,driver,Nuclear speckle; Splicesome; Transcriptional condensate,False,0,none,1970.0
P25054,Adenomatous polyposis coli protein,APC DP2.5,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Centrosome; Destruction complex condensate,False,0,none,2843.0
P25440,Bromodomain-containing protein 2,BRD2 KIAA9001 RING3,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,Transcriptional condensate,False,0,none,801.0
P25490,Transcriptional repressor protein YY1,YY1 INO80S,Homo sapiens,PhasePDB,False,both,False,True,driver,Transcriptional condensate,False,0,none,414.0
P25685,DnaJ homolog subfamily B member 1,DNAJB1 DNAJ1 HDJ1 HSPF1,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,Stress granule,False,0,none,340.0
P25788,Proteasome subunit alpha type-3,PSMA3 HC8 PSC8,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,Proteasome containing foci,False,0,none,255.0
P26196,Probable ATP-dependent RNA helicase DDX6,DDX6 HLR2 RCK,Homo sapiens,PhasePDB,False,partner_dependent,True,False,driver,P-body; Stress granule,False,0,none,483.0
P26368,Splicing factor U2AF 65 kDa subunit,U2AF2 U2AF65,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,Nuclear speckle,False,0,none,475.0
P26373,Large ribosomal subunit protein eL13,RPL13 BBC1,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,211.0
P26599,Polypyrimidine tract-binding protein 1,PTBP1 PTB,Homo sapiens,LLPSDB+PhasePDB,False,partner_dependent,True,False,unclear,,False,0,none,531.0
P26651,mRNA decay activator protein ZFP36,ZFP36 G0S24 NUP475 RNF162A TIS11A TTP,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,P-body; Stress granule,False,0,none,326.0
P27348,14-3-3 protein theta,YWHAQ,Homo sapiens,PhasePDB,False,partner_dependent,False,False,driver,Transcriptional condensate,False,0,none,245.0
P27361,Mitogen-activated protein kinase 3,MAPK3 ERK1 PRKM3,Homo sapiens,PhasePDB,False,both,True,True,both,,False,0,none,379.0
P27695,DNA repair nuclease/redox regulator APEX1,APEX1 APE APE1 APEX APX HAP1 REF1,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Nucleolus; Stress granule,False,0,none,318.0
P28070,Proteasome subunit beta type-4,PSMB4 PROS26,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,264.0
P28347,Transcriptional enhancer factor TEF-1,TEAD1 TCF13 TEF1,Homo sapiens,PhasePDB,False,both,False,False,driver,Transcriptional condensate,False,0,none,426.0
P28360,Homeobox protein MSX-1,MSX1 HOX7,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,303.0
P28702,Retinoic acid receptor RXR-beta,RXRB NR2B2,Homo sapiens,PhasePDB,False,unclear,True,False,unclear,,False,0,none,533.0
P29350,Tyrosine-protein phosphatase non-receptor type 6,PTPN6 HCP PTP1C,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,595.0
P29590,Protein PML,PML MYL PP8675 RNF71 TRIM19,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Nuclear body; PML nuclear body; PML/RARα microspeckle,False,0,none,882.0
P29966,Myristoylated alanine-rich C-kinase substrate,MARCKS MACS PRKCSL,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,332.0
P30566,Adenylosuccinate lyase,ADSL AMPS,Homo sapiens,PhasePDB,False,both,False,False,both,Purinosome,False,0,none,484.0
P30622,CAP-Gly domain-containing linker protein 1,CLIP1 CYLN1 RSN,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,1438.0
P31151,Protein S100-A7,S100A7 PSOR1 S100A7C,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,Stress granule,False,0,none,101.0
P31269,Homeobox protein Hox-A9,HOXA9 HOX1G,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Transcriptional condensate,False,0,none,272.0
P31271,Homeobox protein Hox-A13,HOXA13 HOX1J,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Transcriptional condensate,False,0,none,388.0
P31483,Cytotoxic granule associated RNA binding protein TIA1,TIA1,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,False,False,driver,P-body; Stress granule,False,0,none,386.0
P31689,DnaJ homolog subfamily A member 1,DNAJA1 DNAJ2 HDJ2 HSJ2 HSPF4,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,Nucleolus; Stress granule,False,0,none,397.0
P31942,Heterogeneous nuclear ribonucleoprotein H3;Heterogeneous nuclear ribonucleoprotein 2H9,HNRNPH3;HNRPH3,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Nucleus.,False,0,none,346.0
P31943,Heterogeneous nuclear ribonucleoprotein H,HNRNPH1 HNRPH HNRPH1,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,Nuclear stress body,False,0,none,449.0
P33176,Kinesin-1 heavy chain,KIF5B KNS KNS1,Homo sapiens,PhasePDB,False,partner_dependent,False,False,driver,,False,0,none,963.0
P33240,Cleavage stimulation factor subunit 2;CF-1 64 kDa subunit;Cleavage stimulation factor 64 kDa subunit,CSTF2,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Nucleus.,False,0,none,577.0
P33993,DNA replication licensing factor MCM7,MCM7 CDC47 MCM2,Homo sapiens,PhasePDB,False,autonomous,False,False,both,,False,0,none,719.0
P34931,Heat shock 70 kDa protein 1-like,HSPA1L,Homo sapiens,PhasePDB,False,autonomous,False,False,client,Anisosome,False,0,none,641.0
P35222,Catenin beta-1,CTNNB1 CTNNB,Homo sapiens,PhasePDB,False,both,True,True,driver,Centrosome; Destruction complex condensate; Transcriptional condensate,False,0,none,781.0
P35226,Polycomb complex protein BMI-1,BMI1 PCGF4 RNF51,Homo sapiens,PhasePDB,False,both,False,True,both,Nuclear body; Polycomb body,False,0,none,326.0
P35227,Polycomb group RING finger protein 2,PCGF2 MEL18 RNF110 ZNF144,Homo sapiens,PhasePDB,False,both,False,False,driver,Nuclear body,False,0,none,344.0
P35240,Merlin,NF2 SCH,Homo sapiens,PhasePDB,False,both,True,False,driver,,False,0,none,595.0
P35453,Homeobox protein Hox-D13,HOXD13 HOX4I,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Transcriptional condensate,False,0,none,343.0
P35555,Fibrillin-1;Asprosin,FBN1;FBN,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,"Extracellular matrix, Secreted.",False,0,none,2871.0
P35568,Insulin receptor substrate 1,IRS1,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,1242.0
P35579,Myosin-9,MYH9,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,Stress granule,False,0,none,1960.0
P35609,Alpha-actinin-2,ACTN2,Homo sapiens,PhasePDB,False,both,False,False,both,,False,0,none,894.0
