Entry,Entry name,Protein names,p(LLPS),pLLPS_Class,TMD_count,Length,Functional_Categories,Compartment,Subcellular location [CC]
Q8TEM1,PO210_HUMAN,Nuclear pore membrane glycoprotein 210 (Nuclear pore protein gp210) (Nuclear envelope pore membrane protein POM 210) (POM210) (Nucleoporin Nup210) (Pore membrane protein of 210 kDa),0.31,Low,1,1887,[],nuclear envelope," Nucleus, nuclear pore complex {ECO:0000269|PubMed:2195063}. Nucleus membrane {ECO:0000269|PubMed:2195063}; Single-pass type I membrane protein {ECO:0000269|PubMed:2195063}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:2195063}; Single-pass type I membrane protein {ECO:0000269|PubMed:2195063}."
Q9UJA2,CRLS1_HUMAN,Cardiolipin synthase (CMP-forming) (CLS) (EC 2.7.8.41) (Protein GCD10 homolog),0.3,Low,5,301,['Transferase'],mitochondrion, Mitochondrion inner membrane {ECO:0000269|PubMed:16547353}; Multi-pass membrane protein {ECO:0000269|PubMed:16547353}.
P00533,EGFR_HUMAN,Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1),0.28,Low,1,1210,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor', 'Adhesion']",nucleus," Cell membrane {ECO:0000269|PubMed:17182860, ECO:0000269|PubMed:20462955, ECO:0000269|PubMed:23589287, ECO:0000269|PubMed:27153536, ECO:0000269|PubMed:2790960}; Single-pass type I membrane protein {ECO:0000269|PubMed:27153536}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:27153536}; Single-pass type I membrane protein. Golgi apparatus membrane; Single-pass type I membrane protein. Nucleus membrane; Single-pass type I membrane protein. Endosome {ECO:0000269|PubMed:17182860, ECO:0000269|PubMed:27153536}. Endosome membrane. Nucleus {ECO:0000269|PubMed:17115032, ECO:0000269|PubMed:20551055, ECO:0000269|PubMed:20674546}. Note=In response to EGF, translocated from the cell membrane to the nucleus via Golgi and ER (PubMed:20674546). Endocytosed upon activation by ligand (PubMed:2790960, PubMed:17182860, PubMed:27153536). Colocalized with GPER1 in the nucleus of estrogen agonist-induced cancer-associated fibroblasts (CAF) (PubMed:20551055). {ECO:0000269|PubMed:17182860, ECO:0000269|PubMed:20674546, ECO:0000269|PubMed:27153536, ECO:0000269|PubMed:2790960}.;  [Isoform 2]: Secreted."
P21802,FGFR2_HUMAN,Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332),0.27,Low,1,821,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",extracellular region," Cell membrane; Single-pass type I membrane protein. Golgi apparatus. Cytoplasmic vesicle. Note=Detected on osteoblast plasma membrane lipid rafts. After ligand binding, the activated receptor is rapidly internalized and degraded.;  [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Note=After ligand binding, the activated receptor is rapidly internalized and degraded.;  [Isoform 3]: Cell membrane; Single-pass type I membrane protein. Note=After ligand binding, the activated receptor is rapidly internalized and degraded.;  [Isoform 8]: Secreted.;  [Isoform 13]: Secreted."
P08247,SYPH_HUMAN,Synaptophysin (Major synaptic vesicle protein p38),0.27,Low,4,313,[],cytoplasmic vesicle," Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000269|PubMed:18662323}; Multi-pass membrane protein {ECO:0000255}. Cell junction, synapse, synaptosome {ECO:0000269|PubMed:18662323}."
Q14739,LBR_HUMAN,Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (LMN2R) (Lamin-B receptor) (Sterol C14-reductase),0.25,Low,8,615,"['Oxidoreductase', 'Chromatin Remodeling']",nucleus, Nucleus inner membrane {ECO:0000269|PubMed:8157662}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:21327084}. Cytoplasm {ECO:0000269|PubMed:21327084}. Nucleus {ECO:0000269|PubMed:21327084}. Note=Nucleus; nuclear rim. {ECO:0000269|PubMed:21327084}.
P29317,EPHA2_HUMAN,Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK),0.24,Low,1,976,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor', 'Adhesion']",plasma membrane," Cell membrane {ECO:0000269|PubMed:18794797, ECO:0000269|PubMed:19573808, ECO:0000269|PubMed:20223987, ECO:0000269|PubMed:20861311}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000269|PubMed:19573808}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, lamellipodium membrane {ECO:0000269|PubMed:19573808}; Single-pass type I membrane protein {ECO:0000255}. Cell junction, focal adhesion {ECO:0000269|PubMed:10655584}. Note=Present at regions of cell-cell contacts but also at the leading edge of migrating cells (PubMed:19573808, PubMed:20861311). Relocates from the plasma membrane to the cytoplasmic and perinuclear regions in cancer cells (PubMed:18794797). {ECO:0000269|PubMed:18794797, ECO:0000269|PubMed:19573808, ECO:0000269|PubMed:20861311, ECO:0000269|PubMed:26158630}."
P17948,VGFR1_HUMAN,Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor),0.24,Low,1,1338,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",endosome, [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Endosome. Note=Autophosphorylation promotes ubiquitination and endocytosis.;  [Isoform 2]: Secreted {ECO:0000269|PubMed:8248162}.;  [Isoform 3]: Secreted.;  [Isoform 4]: Secreted.;  [Isoform 5]: Cytoplasm {ECO:0000305}.;  [Isoform 6]: Cytoplasm {ECO:0000305}.;  [Isoform 7]: Cytoplasm {ECO:0000305}.
P05556,ITB1_HUMAN,Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29),0.24,Low,1,798,"['Receptor', 'Adhesion']",endosome," Cell membrane {ECO:0000303|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, invadopodium membrane {ECO:0000269|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000303|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Recycling endosome {ECO:0000269|PubMed:16256741}. Melanosome {ECO:0000269|PubMed:17081065}. Cleavage furrow {ECO:0000269|PubMed:17956333}. Cell projection, lamellipodium {ECO:0000269|PubMed:11919189}. Cell projection, ruffle {ECO:0000269|PubMed:11919189}. Cell junction, focal adhesion {ECO:0000269|PubMed:17158881}. Cell surface {ECO:0000269|PubMed:17158881}. Note=Isoform 2 does not localize to focal adhesions. Highly enriched in stage I melanosomes. Located on plasma membrane of neuroblastoma NMB7 cells. In a lung cancer cell line, in prometaphase and metaphase, localizes diffusely at the membrane and in a few intracellular vesicles. In early telophase, detected mainly on the matrix-facing side of the cells. By mid-telophase, concentrated to the ingressing cleavage furrow, mainly to the basal side of the furrow. In late telophase, concentrated to the extending protrusions formed at the opposite ends of the spreading daughter cells, in vesicles at the base of the lamellipodia formed by the separating daughter cells. Colocalizes with ITGB1BP1 and metastatic suppressor protein NME2 at the edge or peripheral ruffles and lamellipodia during the early stages of cell spreading on fibronectin or collagen. Translocates from peripheral focal adhesions sites to fibrillar adhesions in a ITGB1BP1-dependent manner. Enriched preferentially at invadopodia, cell membrane protrusions that correspond to sites of cell invasion, in a collagen-dependent manner. Localized at plasma and ruffle membranes in a collagen-independent manner. {ECO:0000269|PubMed:10455171, ECO:0000303|PubMed:10455171}.;  [Isoform 5]: Cell membrane, sarcolemma {ECO:0000250}. Cell junction {ECO:0000250}. Note=In cardiac muscle, isoform 5 is found in costameres and intercalated disks. {ECO:0000250}."
P10747,CD28_HUMAN,T-cell-specific surface glycoprotein CD28 (TP44) (CD antigen CD28),0.22,Low,1,220,['Receptor'],cytosol, Membrane; Single-pass type I membrane protein.;  [Isoform 3]: Cell surface {ECO:0000269|PubMed:15067037}.
Q16635,TAZ_HUMAN,Tafazzin (Protein G4.5),0.21,Low,1,292,['Transferase'],mitochondrion, [Isoform 1]: Membrane; Single-pass membrane protein.;  [Isoform 2]: Cytoplasm {ECO:0000305}.;  [Isoform 3]: Membrane; Single-pass membrane protein.;  [Isoform 4]: Membrane; Single-pass membrane protein.;  [Isoform 5]: Membrane; Single-pass membrane protein.;  [Isoform 6]: Cytoplasm {ECO:0000305}.;  [Isoform 7]: Membrane; Single-pass membrane protein.;  [Isoform 8]: Cytoplasm {ECO:0000305}.;  [Isoform 9]: Cytoplasm {ECO:0000305}.
P61073,CXCR4_HUMAN,C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184),0.19,Low,7,352,"['GPCR', 'Receptor']",lysosome," Cell membrane {ECO:0000269|PubMed:10452968, ECO:0000305|PubMed:20929726}; Multi-pass membrane protein {ECO:0000269|PubMed:20929726}. Cell junction. Early endosome. Late endosome. Lysosome. Note=In unstimulated cells, diffuse pattern on plasma membrane. On agonist stimulation, colocalizes with ITCH at the plasma membrane where it becomes ubiquitinated. In the presence of antigen, distributes to the immunological synapse forming at the T-cell-APC contact area, where it localizes at the peripheral and distal supramolecular activation cluster (SMAC)."
Q15303,ERBB4_HUMAN,Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)],0.19,Low,1,1308,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",extracellular region," Cell membrane {ECO:0000269|PubMed:10348342, ECO:0000269|PubMed:12807903, ECO:0000269|PubMed:15534001, ECO:0000269|PubMed:16251361, ECO:0000269|PubMed:16778220, ECO:0000269|PubMed:16837552, ECO:0000269|PubMed:17486069, ECO:0000269|PubMed:17638867, ECO:0000269|PubMed:19193720, ECO:0000269|PubMed:20858735, ECO:0000269|PubMed:8383326, ECO:0000269|PubMed:9334263}; Single-pass type I membrane protein {ECO:0000269|PubMed:10348342, ECO:0000269|PubMed:12807903, ECO:0000269|PubMed:15534001, ECO:0000269|PubMed:16251361, ECO:0000269|PubMed:16778220, ECO:0000269|PubMed:16837552, ECO:0000269|PubMed:17486069, ECO:0000269|PubMed:17638867, ECO:0000269|PubMed:19193720, ECO:0000269|PubMed:20858735, ECO:0000269|PubMed:8383326, ECO:0000269|PubMed:9334263}. Note=In response to NRG1 treatment, the activated receptor is internalized.;  [ERBB4 intracellular domain]: Nucleus {ECO:0000269|PubMed:17486069}. Mitochondrion {ECO:0000269|PubMed:17486069}. Note=Following proteolytical processing E4ICD (E4ICD1 or E4ICD2 generated from the respective isoforms) is translocated to the nucleus. Significantly more E4ICD2 than E4ICD1 is found in the nucleus. E4ICD2 colocalizes with YAP1 in the nucleus."
O00254,PAR3_HUMAN,Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2),0.19,Low,7,374,"['GPCR', 'Hydrolase', 'Receptor']",extracellular region, Cell membrane; Multi-pass membrane protein.
Q9H3U5,MFSD1_HUMAN,Major facilitator superfamily domain-containing protein 1 (Smooth muscle cell-associated protein 4) (SMAP-4),0.18,Low,12,465,['Transporter'],lysosome, Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9Y624,JAM1_HUMAN,Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (Platelet F11 receptor) (Platelet adhesion molecule 1) (PAM-1) (CD antigen CD321),0.18,Low,1,299,['Adhesion'],plasma membrane," Cell junction, tight junction {ECO:0000269|PubMed:11171323}. Cell membrane {ECO:0000269|PubMed:11171323}; Single-pass type I membrane protein {ECO:0000269|PubMed:11171323}. Note=Localized at tight junctions of both epithelial and endothelial cells. {ECO:0000269|PubMed:11171323}."
P31645,SC6A4_HUMAN,Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4),0.15,Low,12,630,"['Ion Channel', 'Transporter', 'Adhesion']",plasma membrane," Cell membrane {ECO:0000269|PubMed:16870614, ECO:0000269|PubMed:17506858, ECO:0000269|PubMed:18227069, ECO:0000269|PubMed:19270731, ECO:0000269|PubMed:27049939}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q7K4Y6, ECO:0000269|PubMed:27049939}. Endomembrane system {ECO:0000269|PubMed:16870614}; Multi-pass membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:16870614, ECO:0000269|PubMed:18227069}; Multi-pass membrane protein {ECO:0000255}. Cell junction, synapse {ECO:0000250|UniProtKB:Q60857}. Cell junction, focal adhesion {ECO:0000250|UniProtKB:Q60857}. Note=Could be part of recycling endosomes (PubMed:18227069, PubMed:16870614). Density of transporter molecules on the plasma membrane is itself regulated by STX1A (By similarity). Density of transporter molecules on the plasma membrane is also regulated by serotonin (PubMed:17506858) (PubMed:18227069). Density of transporter molecules seems to be modulated by ITGAV:ITGB3 (By similarity). {ECO:0000250|UniProtKB:P31652, ECO:0000250|UniProtKB:Q60857, ECO:0000269|PubMed:16870614, ECO:0000269|PubMed:17506858, ECO:0000269|PubMed:18227069}."
P49146,NPY2R_HUMAN,Neuropeptide Y receptor type 2 (NPY2-R) (NPY-Y2 receptor) (Y2 receptor),0.15,Low,7,381,"['GPCR', 'Receptor']",plasma membrane, Cell membrane; Multi-pass membrane protein.
P15954,COX7C_HUMAN,"Cytochrome c oxidase subunit 7C, mitochondrial (Cytochrome c oxidase polypeptide VIIc)",0.14,Low,1,63,[],mitochondrion, Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Single-pass membrane protein {ECO:0000269|PubMed:30030519}.
P13569,CFTR_HUMAN,Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel),0.13,Low,12,1480,"['Ion Channel', 'Transporter', 'Hydrolase']",nucleus," Apical cell membrane {ECO:0000269|PubMed:12519745, ECO:0000269|PubMed:12529365, ECO:0000269|PubMed:1284548, ECO:0000269|PubMed:15247260, ECO:0000269|PubMed:15716351, ECO:0000269|PubMed:17462998, ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:19621064, ECO:0000269|PubMed:20008117, ECO:0000269|PubMed:22207244, ECO:0000269|PubMed:28130590}; Multi-pass membrane protein {ECO:0000269|Ref.54}. Early endosome membrane {ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:20008117}; Multi-pass membrane protein {ECO:0000269|Ref.54}. Cell membrane {ECO:0000269|PubMed:10792060, ECO:0000269|PubMed:11524016, ECO:0000269|PubMed:11707463, ECO:0000269|PubMed:12588899, ECO:0000269|PubMed:15010471, ECO:0000269|PubMed:17036051, ECO:0000269|PubMed:1712898, ECO:0000269|PubMed:17182731, ECO:0000269|PubMed:19019741, ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:21884936, ECO:0000269|PubMed:22178883, ECO:0000269|PubMed:25330774, ECO:0000269|PubMed:26846474, ECO:0000269|PubMed:28001373, ECO:0000269|PubMed:28067262, ECO:0000269|PubMed:28087700, ECO:0000269|PubMed:28130590, ECO:0000269|PubMed:9804160, ECO:0000305|PubMed:8910473}; Multi-pass membrane protein {ECO:0000269|Ref.54}. Recycling endosome membrane {ECO:0000305|PubMed:17462998}; Multi-pass membrane protein {ECO:0000269|Ref.54}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11707463, ECO:0000269|PubMed:25330774}; Multi-pass membrane protein {ECO:0000269|Ref.54}. Nucleus {ECO:0000250|UniProtKB:P34158}. Note=The channel is internalized from the cell surface into an endosomal recycling compartment, from where it is recycled to the cell membrane (PubMed:17462998, PubMed:19398555, PubMed:20008117). In the oviduct and bronchus, detected on the apical side of epithelial cells, but not associated with cilia (PubMed:22207244). In Sertoli cells, a processed product is detected in the nucleus (By similarity). ER stress induces GORASP2-mediated unconventional (ER/Golgi-independent) trafficking of core-glycosylated CFTR to cell membrane (PubMed:21884936). {ECO:0000250|UniProtKB:P34158, ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:20008117, ECO:0000269|PubMed:21884936, ECO:0000269|PubMed:22207244, ECO:0000305|PubMed:17462998}."
Q9BRQ8,FSP1_HUMAN,Ferroptosis suppressor protein 1 (FSP1) (EC 1.6.5.-) (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (AMID) (p53-responsive gene 3 protein),0.11,Low,1,373,['Oxidoreductase'],nucleus," Lipid droplet {ECO:0000269|PubMed:31634900}. Cell membrane {ECO:0000269|PubMed:31634900}; Lipid-anchor {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:11980907, ECO:0000269|PubMed:12135761, ECO:0000269|PubMed:26689472}. Mitochondrion membrane {ECO:0000269|PubMed:11980907, ECO:0000269|PubMed:26689472}. Nucleus {ECO:0000269|PubMed:26689472}."
Q03135,CAV1_HUMAN,Caveolin-1,0.11,Low,1,178,[],endosome," Golgi apparatus membrane; Peripheral membrane protein. Cell membrane; Peripheral membrane protein. Membrane, caveola {ECO:0000269|PubMed:19262564, ECO:0000269|PubMed:25588833}; Peripheral membrane protein. Membrane raft {ECO:0000269|PubMed:25893292}. Golgi apparatus, trans-Golgi network {ECO:0000250|UniProtKB:P33724}. Note=Colocalized with DPP4 in membrane rafts. Potential hairpin-like structure in the membrane. Membrane protein of caveolae."
Q13021,MALL_HUMAN,MAL-like protein (Protein BENE),0.1,Low,4,153,['Structural'],plasma membrane, Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
